pron,offset
du2 bæk6 täu4 ping2,1111871
gung1 säng4 mäng4 zäu6,1118367
höng2 du6,1125490
säk2 löng6,1129374
löng1 döi1,1132631
cäng1 häng1 däu6 däi6,1136933
häu2 fäi1,1143638
züng2 höng1,1147731
cäng4 bæk2 köng4,1152033
lung6 hü1 zok2 ga2,1157484
si1 du6,1164712
teng1 cung4,1168910
süng2 säu2 læng6 gök2,1172794
cüng4 säng6,1180335
säng1 wuk6 hüng1,1184428
ngo1 di1 du1,1189044
zi6 häng4 ce1 cöi1,1192928
söi1 zäi2,1200992
häng1 däk6,1205190
cong1 gäng1,1209283
su1 la1,1213794
däu2 wäng6,1217260
teng1 kuk2,1221249
döi1 wa6 kwæng1,1224924
du6 ga1 uk2,1229749
ha6 zap6,1234678
fæng1 tæng1,1238249
bung1 zäng1 bung1 ga2,1242342
löng1 go1 ngük6,1249361
ha6 zi1,1253454
häng4 cäng4,1257443
gung1 zü2 läng1,1261536
gäng1 läk6,1266256
siu2 yäu1,1269722
hü1 gäng1,1273920
hing1 söng1,1278013
cöng4 zu6 cöng4 yäu1,1282106
mæk2 yäk2 ngæk6 fung6,1290274
mæng1 hek2,1297502
cäng1 fäng1,1301491
seng4 yäk6 bo1,1305793
säi1 säk6,1310827
mo1 deng2,1314920
yäk2 yäng4 siu2 gü1,1318595
zi6 gi2,1325614
si1 säu2 lüng4 tæng4,1329707
gwu1 gi6 cung4 si1,1336830
zäk2 läu4 säng4 zäk6,1344371
siu1 zü2,1351703
co1 mu4 yäng2 däng1,1356632
wäng2 zung6,1364800
häu2 m4 häu2 mi6,1368580
gam1 cæk2 yüng6 zöng2,1373823
bui1 zing1,1381678
bæk2 wo4 lu6,1385771
häu2 ci1 m4,1390282
zü2 song1,1394062
säu2 gung1 be1,1398155
züng1 zing1,1402980
däng1 zi2 wu6,1407282
ca1 häu2 yüng1,1411898
läng6 wo4,1417349
fung1 lok6 gäm1 siu1,1421024
säk2 läng1,1429192
ba1 si2 sing1,1433285
o1 da2,1438528
bæk2 fäng6 dim2,1442099
yi1 bi6,1447550
ging1 säi2,1451748
ci2 hi2 bi2 fuk6,1455946
zäng1 nong4,1462860
su1 ha1,1466326
tam1 säng1 sing1,1470106
siu1 nam4,1474826
mu4 su1,1478919
cöng4 säng4,1483221
wæk6 do1 wæk6 siu2,1487105
häng4 dung6,1495378
päng4 däng2,1499367
cöng4 säng1 bäk2 si2,1503669
köng4 bäk2 zäng1,1510479
cung4 fung4,1515199
cai1 säi2,1519292
häu4 wa4 yäng4,1523281
yung6 säu2 zäi1,1527061
yäu1 gäng1 yim6,1532512
düng1 gwu2,1537337
fæng1 sü1 zäi2,1541639
hi2 häu1,1546673
da2 wäng6,1550975
bæk6 ga1 däu6,1554232
läng1 däu6 yäng4,1559579
fong1 se6 liu4 fæk2,1563881
ca1 ce1,1572049
yäu1 du6,1575933
hau6 kwäng4,1579817
cöng1 tam1,1584119
mong1 se4,1588421
wa6 bäk2,1592932
säng1 köng4 läk6 zong1,1596189
wäi1 a4,1603208
häng4 hung1,1606256
häu6 söng1,1610454
däi6 ngi6 täu4,1615174
cung4 mung4 säm1 so2,1620208
zök6 säk6,1626600
zo6 zäk6,1631007
züng1 täu4,1634578
säng4 wa2,1638985
cäi4 zap6,1643078
läu1 zung1 cäng1,1646858
mu6 si2,1651892
wäi2 yü6 cam1 bung1,1656612
wäng1 sæng1 fa1,1664258
gäm2 däk2 hæng4,1669501
läng1 zäu6,1673385
söng1 hok6,1677583
zöi1 täi2,1681572
wa6 fung1,1685979
häu1 säk6 læng1 fi1,1690072
säu2 ha6 bai6 zöng1,1698345
säng1 gong1 gi1,1705259
gäu1 säng1 yi1,1710502
yäk6 säu2,1715640
dap2 säng4,1720151
læng6 du2,1723931
käm4 ceng1,1728547
fæk2 se6,1733058
häk6 zü6 bing1,1736942
fäu2 fuk2 säng1 cæng2,1741871
da2 däk2 siu2,1749517
yäk2 löng1 yöng6,1754237
ning4 zöng2,1758330
tiu4 zäng2,1762841
zäng1 häi6 gok2,1767039
wung6 yi1,1771341
gok2 ng6,1775121
gäm1 ye6,1778901
zäp2 du1 läu1 mai4,1782472
däu6 päu4,1788237
ding6 wa2 bu2,1792226
su1 zek2,1797364
säng1 gi1 ong1 ying4,1801666
pau2 ce1,1809521
si6 lai1 cai1,1814137
fung1 lok6,1819693
wung6 lung6 gäm2 cäng4,1823368
wui4 züng2 säu6 si1,1831014
bik2 gäng1 zi1 lu6,1839078
däng2 bau1,1845156
däu1 su2,1849145
bi2 ka1 ciu1,1853656
häu2 teng1 dim2,1858167
næng6 yäu1,1862887
ma1 mai4,1866980
zi1 säk2 cæng2 küng4,1870342
co1 fi1 gi1,1878719
cöng4 löng4,1884066
zi1 säk2 fäng6 zi2,1887532
säm1 säng2,1896223
cäu4 säm1,1900734
cung4 sing6 yü4 läu4,1905245
yäk2 säng1 bäk2 häng1,1912368
geng2 gäng2,1918655
söng6 go1 läi1 bai1,1922748
säng1 gäng6,1928095
fa1 löi1,1932397
zäng1 säng4 däu2 säu2,1935654
bok2 mäng4 köng4 gi1,1943195
yäk6 wa6,1950005
sam1 cung4 zäu1,1953576
zöng1 ka1,1959445
ling4 säk2,1963643
häu2 häu2 sing1 sæng1,1967527
se1 siu2,1975068
päng4 wa6,1979057
hok6 sæng1,1982837
äu2 da2,1987035
söng6 zäng1,1990919
säu4 däk6,1995326
wo4 m4 wo4 päng4,1999210
läi1 su1,2004557
säng4 suk6,2009173
zöi1 häu2,2012848
gäng2 cü1 gäng2 zöng2,2017255
yäk2 ping2 gwong1 mäng4,2024796
sæng2 mäng4 si1,2030874
bæk2 zung2,2035803
cäm4 zung6,2040314
m4 geng1,2044303
yök2 su1,2047769
zo2 yäu6 wäi4 næng4,2052385
pæk2 zi2 bu2,2058254
muk2 bu1,2063705
yung6 bäk2 zök6,2067589
m4 häu2 wa6,2073040
ok2 mäng4 ziu1 zöng1,2076611
fong4 bäu6,2084466
wäi4 gi2 yäm6,2088455
löng1 cing1,2092862
gik6 wäi4,2097164
läu4 hok6 sæng1,2101153
züng2 säk6,2106187
säk2 läu1,2110071
züng2 yung6,2114269
häng4 wäi4 zäng2 zäk2,2118258
wäng4 to4 to4,2126113
fui2 sing1,2131147
yäng4 täi2 gai2 fäu2,2135240
gong2 gong2 ha1,2142259
na1 däu6,2146352
gau1 ngam1,2150236
gwäng1 mäng4 löng1 yung6,2154434
bäk2 gai2 fung1 cäng4,2161557
läng4 dæng1 miu6 yök6,2169412
häk2 däu6,2176953
siu1 läm4,2180524
mi6 zäng1 tong1,2184304
mai4 fuk6,2189755
löng4 gü6,2193535
däng2 säm1 däng2 fäi1,2197733
ye1 si6 säng1 fi1,2205797
säng1 wo4 li1,2214383
säk6 gäng2 fæng6,2218476
bui6 sü1,2224659
zäng1 päk2,2229170
däk6 gwung1,2233159
gäm2 gok2,2237148
cung1 ci1,2241241
mi4 gwung1 gäng1 zäi1,2245752
do1 su1 du1,2255801
köng4 läk6 bu6 mung4,2261148
säu1 gäng1,2267958
da2 m4 da2,2272365
bäng2 zäk2 gwung2 li1,2276040
peng4 ga1,2283477
tai1 päng4 säng1 si2,2287779
sæng2 sa1,2296156
mu4 säm1 zong1 zöi1,2300354
zi1 häu2,2308522
su1 go1,2312929
cam1 hau2,2317231
bäu1 säu4,2321533
wa6 söi1 yü4 ci2,2325626
tiu4 zik2,2333794
gü1 wa6,2337887
su1 gæng1,2341353
cæng2 säng1,2345760
säk2 ha6 yäng4,2349749
si1 læng6,2354051
zäng1 häng4 säng1 gau1,2358040
da2 höng2 täu4 pau1,2366417
söng6 zi1,2372182
di6 täu4 se4,2376798
zäp2 ha1,2382145
täu4 täu4 si6 däu6,2385402
mäu1 wa6,2393257
yäm1 löng6,2396932
gung1 yung6 ding6 wa2,2400607
läu4 däk2 wa4,2407835
dai6 si1 gwung2,2412555
muk6 dai6 gwui2 bing1,2418111
nam4 säng1,2424398
häi6 ni1 di1,2428909
yäk2 gi6 pong4 säng1,2433107
päng4 fong1,2440021
zöi1 wäi4,2444428
fæng2 säu2 wäi4 gung1,2448208
cung4 cäu1 gwu1 yip6,2456272
cäng1 wong4,2463918
bu6 gi1,2467489
siu2 säk6 täng4,2471687
gäng1 gäu2,2476930
ng6 gai2,2481337
gäk2 pu2 ce1,2485848
bæng1 zöng2,2490777
læng1 däu1 si2,2495288
wo4 guk6,2500426
säng1 liu1,2503474
häng1 yü1 hung4 mäu4,2507149
da2 zäng1 ki4 häu6,2513645
si2 m4 si2,2519828
yung1 yung4 wa4 gwäi1,2524548
yung2 bäng1 zi6 zung6,2532089
gong2 hæng4 wa2,2539317
wäi6 häu2 bäng1 ci4,2543515
sam1 hong4,2552937
löng1 go1 luk2,2556612
cüng4 ngik6,2560287
säng1 säng1 wuk6,2563544
dam6 bok6 mäng4 li6,2568264
læng6 täu4 säk2,2576328
m4 häu2 cäk2,2581257
ciu1 ciu1 wa6,2585037
ka1 tap2 yi1,2590071
zap6 yäk6 säng4 käu4,2594582
tip2 co1 mung4 säng4,2602019
zi1 zäk2 päng4 yung4,2609769
si6 bäng1,2617206
cäm4 muk6,2621404
däi6 yäk2 zung2,2624661
läng6 zäng1,2629172
läu1 säng4 ci4 zung6,2633474
zäng1 häng4,2641433
cöi4 cüng4 cöi4 däu1,2645108
zäng1 säk6,2652649
säng1 zäi2,2656742
häu2 säu2,2660940
po4 zäi2 hai4,2665451
zäu2 zök6 sing1 gi1,2670067
cam1 ziu1 häi6,2678340
zung6 yi1 wäi4,2683269
gwui2 hong4,2687989
ning4 häng1,2691351
yiu1 süng1 bui1 tung1,2695444
cöng4 hi1,2703612
säk6 zäng2 söi2,2707914
ha6 säu2,2713052
läu4 næng4,2716936
yäk6 säk6,2720820
gung1 zäng1 bäk2 o1,2724809
wui6 yi1 däu6,2730992
fung1 tæng2 beng6 duk6,2736130
cöng4 wung1,2743776
bi2 yäng4 gau2,2747765
yäk2 ying4 næng4 zäng6,2752172
fong1 yäm4 mu4 du6,2758982
ting1 li1 næng4 yung4,2766837
ni2 go1,2772915
züng2 süng4,2776172
se2 säng1,2780161
höng1 gong2 kæk2,2784463
fong1 se6 yüng4,2789079
zung1 ba1 si6,2794844
ye6 häng4,2800191
zuk6 ga1,2803657
zung2 zuk6 ki4 si6,2807228
yäng4 säm1 gwo2,2814769
wo4 pung4 tok2 cäk2,2819907
da2 ho4,2827448
wa6 si6,2830914
zäng1 wäi6 ting4 fui2,2834903
duk6 lung4 züng1,2842444
diu2 a4,2847164
gäk2 läm4 sæng2,2850212
yäng4 su1,2855141
bui1 yäng2,2859548
sæng1 gwäng2,2863537
bäk2 gi1 bu2,2867839
säk6 läk6,2872977
zäi1 ping2 yäng4,2876861
säng4 söng1 säng4 döi1,2881372
cöng4 sa1,2890272
diu6 züng1 täu4,2894574
däng2 geng2,2899399
ngäu4 zäi2 ping2,2903492
gi2 nöi2,2908421
zo6 däng6 näp2 luk6,2912096
zäng1 wui6 zu2 fu6,2917861
säng6 siu2 käu4,2924566
bæk2 fäng6 bi2,2929913
fäng1 bing6,2935364
säng4 yäng4 zi1 ngäi4,2939457
häng1 ce1 gæng2 cung4,2946789
säk6 läu1 bung2,2953390
löng1 mui4,2959155
yöng1 ce1,2963144
do1 si2,2967760
si6 zuk6,2972062
zi6 li1 hong4 gæng1,2975842
gai2 wäi1 zäu2,2982965
dam6 gwäi1,2987685
næng4 du6,2991883
ai1 käng1,2995976
