pron,offset
vong2 gon1,1383161
ce2 zin3,1389762
zau1 giung1,1395736
da3 pau1,1401710
tam4 tin4,1406326
piang4 cung4,1411569
tui1 sam1 tui1 si4,1416916
cu4 liong4,1424457
mau2 pen2 yiu1,1429073
sui3 pin2,1436928
zak5 si3 lo3,1442797
tiap6 teu2,1448562
ciet6 zung3,1453178
da3 san3,1458421
tang4 tien4 va4,1463455
si1 yau4,1469011
zung1 get5 tai4 luk6,1473836
tit6 tit6 zai3,1480019
san3 hak5,1486202
fui2 tien4 va4,1491236
gong3 zung4,1497001
ciu4 ti4 zin4 fap5,1502557
da3 gung1 zai3,1509053
ngiam1 kiu1,1516699
vu2 song4,1522464
mo2 kien2 cat5 zong3,1528124
pin2 dai3 vok6,1535143
m1 sin2,1540490
gung1 min2,1545106
ciang1 san1,1550035
go4 cung2 sim4 mit6,1555904
hau3 kai4,1562087
tuk6 si3 su1,1566389
liong1 zung1,1573199
piang4 si3 hoi1,1579173
ngan2 pi2,1586296
sam1 cien1,1592061
liong1 sam1 ngit5,1598035
ci4 fui4,1604113
diau1 ket5,1608729
sip6 da1,1613031
den1 kit6,1618169
mien4 pun2,1622576
biau3 co4 cin2,1628550
gien4 hau3 ciu4 siu1,1635673
vak6 gui3 giok5,1642692
zuk5 ciak6,1647830
mai1 ngiuk5,1652028
tuk6 yiu1,1656330
sin4 kiuk6,1662304
man1 zai3 yi2 gui1,1667129
pak6 ket5,1677492
ko1 da3,1681376
fung1 zung1 can2 zuk5,1685574
cu4 hang2 ca1,1693638
hap6 yi2 vui2 yit5,1700239
gak5 zai3,1706944
siong1 sin4,1711664
yiu1 hau3 fong3 mun4,1717324
tiam1 fa2 tau4,1725179
zin4 yi4,1731257
po4 gai3,1735768
gi1 gan1 ca1,1740488
bak5 fun4 bak5,1746253
pai2 tuk6,1752645
si3 bo1 ga4 cang1 do1,1757156
zun3 ziong4,1766160
gok5 cu4 vui2 zin4,1770985
su4 li1 hong2 gan1,1779676
tung3 ge4 cu3,1789307
ngin2 lit6 ca1,1795594
