pron,offset
löi1,1041355
mik6,1043881
cong4,1046093
o4,1048723
yuk2,1050935
tüng4,1052834
käm4,1055255
gü1,1057467
zök2,1059993
bau1,1062519
wäng6,1064940
cau4,1067361
cik2,1069782
yiu1,1071890
cäng1,1074311
tim1,1076941
zeng2,1079362
yöi6,1081992
zong6,1084622
mæng2,1087148
kwæng2,1089778
gwäi6,1092408
sap6,1094934
zöng2,1097355
cöng1,1100090
po4,1103034
ngäu4,1105246
säu6,1107563
biu1,1110298
mai6,1112615
yöng2,1115141
cing4,1117980
mo6,1120297
hü2,1122718
lük2,1125348
long6,1127456
däng6,1129773
gäm1,1132090
yäu2,1134407
yim2,1137037
diu1,1139667
cong2,1141984
päi1,1144928
dæk2,1147349
zäng6,1149666
töi2,1152087
wong6,1154822
hong2,1157348
lök6,1159665
kwæng1,1161877
gwäk6,1164298
ngük6,1166197
ba1,1168409
ngam4,1170203
tim2,1172520
ap2,1174837
wæng6,1176945
wæng4,1179680
cü2,1182310
ngo1,1185149
ciu4,1187779
näk1,1190096
mai1,1191890
sek2,1194311
käm1,1196732
läm1,1199049
lik6,1201470
fui6,1203473
sam2,1206103
lok2,1208733
täu2,1210945
tüng1,1213680
sing4,1216206
kik2,1219045
häi2,1220944
gu2,1223261
ying2,1225891
häk2,1228417
pong4,1230316
nai1,1232528
yü1,1235158
täu1,1238311
wäi1,1240837
löi4,1243258
zong1,1245679
lip6,1248414
gü6,1250417
tung1,1252943
king4,1255260
gap6,1257472
ngäi4,1259371
wäk2,1261792
wong4,1263586
gäu2,1266007
geng6,1268533
tæng2,1270745
zong2,1273375
ung2,1276005
sim4,1278531
gwu2,1281057
däk2,1283687
äm2,1285377
ga1,1287694
cu1,1289697
töi1,1292641
söi4,1295271
lu4,1298006
ni1,1300114
äu2,1302535
pung2,1305165
wæk6,1307586
mäu1,1309903
yip6,1312638
bai1,1314850
pik2,1317271
zat6,1319065
päng4,1321277
ngok2,1323594
gong2,1326120
tam1,1328332
bong6,1330440
co2,1332652
wui2,1335387
näi4,1338017
sa2,1340438
wung4,1342859
gwäng6,1345176
gang2,1347597
ca4,1349914
puk2,1352231
säng4,1354025
piu4,1356655
yäp2,1358867
ngæng4,1360766
do6,1363292
pän1,1365295
ha1,1367716
wong1,1369719
sip2,1372349
mäi1,1374770
gim2,1377400
mik2,1379717
zäm2,1381720
him1,1384246
bok2,1386563
zöi1,1388671
yi4,1391092
fi2,1394245
teng1,1396771
huk2,1399297
luk2,1401196
ya1,1403199
düng6,1405202
zük2,1407519
häp6,1410149
ciu1,1412048
yäng4,1414574
käp6,1416682
tük2,1418476
dong6,1420793
häu2,1423005
nak2,1425844
hæng6,1427847
nung6,1430164
fäu1,1432585
mui1,1435215
ngam1,1437950
sim2,1440371
gäk6,1443210
liu2,1445004
kim4,1447425
siu6,1449637
däm2,1452372
häk6,1454793
nu6,1456692
se4,1459009
mæk2,1461848
säng1,1463956
cek2,1466900
zü6,1469426
yüng1,1472265
sü1,1475104
gwäng2,1478152
le1,1480573
nga6,1482785
tok2,1484788
fuk6,1486791
kök6,1488690
säng2,1490693
dik2,1493532
göng6,1495222
tiu2,1497539
zip2,1499960
seng4,1502381
nü2,1504907
gwung2,1507433
ce2,1510063
fäi1,1512484
käi1,1514905
cöi1,1517222
zo1,1519852
liu4,1522064
yöng1,1524172
him2,1527011
gi6,1529432
wok6,1531749
söi1,1534066
nap6,1536905
kö4,1538699
zim1,1541016
li4,1543646
bong1,1546067
bäk2,1548488
ham4,1550178
mäng6,1552495
hi1,1554707
fäng4,1557233
hö1,1559550
nuk2,1562076
la4,1564079
do1,1565873
long1,1567981
mäk6,1570507
häp2,1572301
zak6,1574304
gung6,1576307
ai2,1578624
cüng2,1581150
wa1,1583885
hau6,1585888
yöng4,1588309
ling6,1590835
züng6,1593256
mäng4,1595991
deng2,1598203
du1,1600415
kiu4,1602941
mo1,1605153
köng1,1607783
gäm6,1610204
yäk2,1612416
nong4,1614315
ngæk6,1616736
cung2,1618948
fai1,1621787
wa6,1624417
ho6,1626629
næng6,1628737
yük6,1631158
wo4,1633266
yäm2,1635792
gwui6,1638213
zäu2,1640634
zäk6,1643160
bäm1,1644954
güng6,1647271
döi2,1649692
ling4,1652427
läng1,1654744
ham1,1657270
fu6,1659482
gai1,1662426
kök2,1665161
fung4,1667164
tip2,1669376
söng1,1671379
nü1,1674218
sæng2,1676848
wo2,1679792
ze6,1682527
niu6,1685053
cäi1,1687056
ma1,1689477
bäi1,1691585
häm4,1693797
näi2,1696218
gong1,1698744
nüng6,1701061
nip2,1703482
sö1,1705485
buk2,1708324
tik2,1710223
pæk2,1712122
ham2,1714334
liu6,1716860
yung1,1719072
lap6,1721598
zai6,1723601
fo2,1726231
zau1,1728548
hing2,1731074
mui4,1733495
täng4,1736230
ngong6,1738442
yäng1,1740968
se6,1743389
mo2,1745810
wung6,1748231
ho2,1750861
läu1,1753178
lö2,1755913
fäk6,1758439
hæng1,1760442
dim1,1762863
wo6,1765284
gwai2,1768019
nik6,1770545
yi6,1772444
zing6,1775388
gwui2,1777914
kü1,1780440
cai4,1783070
zuk6,1785805
zim6,1787704
yip2,1790021
ging6,1792024
fi4,1794341
zäng1,1796971
sap2,1799601
a1,1801918
fong1,1803817
dö2,1806552
mæng6,1808660
kwäng4,1811081
ceng1,1813398
zö1,1816028
bu1,1818658
læk6,1821393
ngäi1,1823501
wäng2,1825922
zök6,1828448
zü1,1830660
näng4,1833604
nat2,1836025
sai1,1838342
si1,1840972
zæng2,1844020
ngok6,1846755
mæk6,1848967
do2,1851075
mai4,1853287
wai6,1855813
tong1,1858652
mong4,1861073
gwäng1,1863599
po1,1866020
ze2,1868232
au2,1870862
cök2,1873597
lim6,1876541
cäi4,1878753
zai1,1881174
män2,1883700
zam2,1886121
so1,1888647
bæk2,1891068
söi6,1893280
züng2,1896119
ngæng1,1898958
ca2,1901484
cing1,1904114
kim2,1906431
ce4,1908748
tek2,1911587
nim1,1913590
päu1,1915907
dän1,1918433
sük2,1920854
yung2,1923380
kwa1,1925906
song2,1927909
söi2,1930644
söng4,1933588
äu1,1936114
bik6,1938640
gai2,1940539
to4,1943065
ye1,1945173
sæng4,1947803
dap6,1950538
du2,1952228
män4,1954649
häu4,1956966
fæk2,1959387
söng2,1961913
tæng1,1964648
kwäng2,1967069
sök2,1969490
kük2,1972016
piu1,1974124
gäng1,1976441
höng2,1978862
mæng1,1981388
suk6,1983914
nip6,1986231
zung2,1988130
ngai6,1990865
ho4,1993600
kwuk2,1995812
tu1,1997711
gim1,2000446
tu4,2002867
sing1,2005288
zu6,2008232
säu1,2010862
zu1,2013597
zük6,2016436
bu2,2018753
wung1,2021488
täk2,2024014
gu1,2025704
zu2,2028543
hüng2,2031278
käng2,2033699
käng4,2036120
muk2,2038437
tap2,2040440
dong2,2042443
cöng4,2045073
sai2,2047599
ze1,2050334
hung4,2053173
ngäm4,2055281
bäi6,2057702
lüng1,2059914
ngong4,2062544
lü4,2065174
cük2,2067909
dip6,2070330
fu1,2072124
äp2,2074963
ceng4,2076862
gwäi1,2079283
yü6,2081704
wäk6,2084752
yäm6,2086651
hip2,2088759
kwäng1,2090867
si6,2093288
süng6,2096232
gwu1,2098862
wo1,2101701
yök2,2104436
nok6,2107275
pui4,2109383
zäu1,2111909
löi6,2114330
hung1,2116856
ca1,2119382
hi2,2121803
bing2,2124329
yök6,2126646
m6,2128649
ye4,2131384
yüng6,2134014
dung1,2136749
læng1,2139170
küng4,2141591
säm2,2144012
gui6,2146747
ngäng1,2148959
wu4,2151485
bai2,2153802
nu4,2156223
ye6,2158226
cäi2,2160752
pau2,2163278
læk2,2165908
yöng6,2168016
dai1,2170646
wai4,2172963
läi2,2175489
de1,2178119
ning1,2180331
song1,2182648
gök2,2185278
ngäu1,2187386
wu2,2190121
nga2,2192856
zung6,2194859
lü6,2197280
yäm4,2199910
lam2,2202018
cän1,2204439
säi6,2207069
mui6,2209699
hük2,2212434
häm1,2214855
hing1,2217276
gung2,2219697
ya6,2222118
ngäng6,2223912
göng1,2226333
ci1,2228754
zam6,2231593
duk2,2233596
me2,2235390
yäi6,2237602
gi2,2240128
ne1,2242445
miu4,2244657
löng6,2247183
zeng1,2249709
bang1,2252653
yäng6,2254970
wai1,2257287
yung6,2260126
däu2,2262547
pæk6,2265073
yi1,2267076
güng2,2269915
mu4,2272336
läu2,2274548
dük2,2277283
dek6,2279391
wäng4,2281290
nam2,2283711
mi6,2286237
pek2,2288972
fa1,2290975
säm6,2293083
yü2,2295609
sing6,2298448
ge1,2301183
ci4,2303186
mi2,2306130
kiu1,2308656
süng1,2310973
gam1,2313708
gæng1,2315816
luk6,2318342
za1,2320345
nüng1,2322662
mau4,2325083
gat6,2327400
cü1,2329299
ping2,2332347
sü2,2334664
bui1,2337503
læng4,2340029
wui1,2342450
nga4,2344976
läi1,2346875
ng4,2349401
gwo2,2351404
zam1,2353512
sek6,2355933
wäng1,2358354
