pron,offset
läu1 ya1,1072879
däu6 yäk6 yäu1 däu6,1076345
säng1 säk2,1083886
duk6 yök6,1087561
yäk2 däk6,1090714
läng1 nam4 dai6 hok6,1093344
yäp2 bäk2 säng4 säng1,1100049
pæng1 guk2,1106336
däu2 gwo2 wäi4 yäng1,1109802
si2 hæng1,1115671
zöng1 fu4,1119869
næng4 yi1 wäi4 gäi1,1123753
fäng4 täu4,1129622
ngäk6 dap2,1133715
cüng4 dæng1,1137495
tong1 päng4,1141693
köng4 dai6,1145473
si1 fui2 wäi4 ga1,1149566
sük2 li2,1155540
fi4 bung6,1159006
säk6 bau2,1162890
bui1 häu6,1166983
mok2 fa1 säng1,1170763
cung4 si1 gwu1 gi6,1176006
cung4 säp6,1183129
zü2 sung1,1186804
siu2 gai2,1190897
gäu2 bik6 cung4 fung4,1195408
gäng1 läk6 fung1 yü1,1202218
häu2 ma1,1210073
ce1 zi1,1213435
hing2 säng1,1217424
dai6 geng2 pau1,1221413
gäng1 du6,1226551
ng4 tung4,1230331
süng2 bing6,1234006
kwong1 kæk2,1237786
wung1 wa4,1241566
döi6 da2,1244823
sæng1 fa1,1248916
zäng1 gwok2 wäi6,1252487
bäk2 zuk2 wäi4 gwai1,1257625
wung6 züng1,1266107
häu2 yi1 si1,1270409
sæng1 yäk6,1275756
wäk2 zäk2,1278700
yi4 zai1,1281644
häk6 gwok2 ga1,1286051
zäu2 diu6,1290040
cäu1 däi2,1294029
ci4 kæk2,1298331
bai2 zäu2,1302215
yäu4 ding6 kuk2,1306413
bæk2 näu2,1311133
zäk2 yü4,1315226
dek6 mäi1,1318901
siu2 bäk2 liu1,1322681
hi2 cöi1,1328132
cüng4 yim1 beng6,1332434
yäk6 zü2,1337363
dai6 bæng2,1341352
cän1 ga1,1345445
yäng4 leng1 säng1 tim4,1349329
säi2 yi1 gung1 täng1,1356870
ging1 häu2 zäu6 säu1,1362844
fæng6 cæng2,1370072
tüng4 cöng4,1374270
fæng1 sæng1 yük6 leng1,1377945
fu4 dip2,1385382
cu1 cung1,1388848
läk2 næng6,1393464
fäng1 wa6,1397348
da2 süng1 pung4,1401023
bäk2 säng4 täi2 tung2,1405325
bau1 su1,1413180
sa2 mæng4 gäi1,1417587
luk2 zi2,1422307
gäng1 fæng1,1426400
wong4 zäu2,1430807
säk6 säk6 ha1 fæng6,1435005
häk2 yi1,1443487
gäi1 læng2,1447162
säk2 diu6,1451255
fong1 söng1,1454617
wo4 hai4,1458710
sæng1 bäu2 yäng4,1462803
häk6 zi2 mu1 hi1,1466896
næk6 däk2 zäi6,1474437
küng4 täu4,1479888
häu2 fui1 säm1,1483668
mung4 cam1,1488493
ho2 yi1 säk6,1493004
söng1 yäu6,1497306
zung1 lü1,1501190
su1 pai4,1504656
dai6 häu6 ning2,1509376
au1 su1,1513783
söng1 säng1 söng1 häk2,1518399
yäu1 läng4,1526672
süng1 häu2,1530243
läk6 zi1,1534650
gong6 sük2,1538743
zöng2 läu1,1542836
fu6 long6 däi2,1546929
löng1 zung2,1551858
yäng4 mäu4,1556056
da2 ham1 lu1,1560045
fung1 gung1,1564347
bäk2 ci2 ha6 mäng6,1568440
zip2 teng1,1576190
dam6 söi2,1579761
yü6 fong4 zip2 zung2,1584377
seng4 tiu4 gai1,1592336
ka1 häu2,1597892
yäng4 ying1 hi1 siu2,1601567
läng4 wo4 yäu4 hi1,1609004
dim2 du1 häu2,1616859
nai2 täu4,1621579
cöng4 bæng1,1625672
äm1 mäk6 zäk2,1630079
da2 süng4,1634277
si2 la1,1637534
ok2 säng1 cäng4 wæng4,1640896
zeng6 häi6 wui2 däk6,1648333
ga2 nga4,1653889
ngam2 ngam2,1656833
cöng4 gwo1,1661031
zung2 wo4,1664497
yäk2 säng1 kwäng2,1667336
sa6 gwäi6,1672996
ka1 säk2 gi1,1676880
cüng4 siu1,1681600
ha6 go1 ngük6,1685798
ngai4 gæng1 däi2 ye6,1689264
ciu4 zäng1,1695656
ciu4 täng4,1700063
yäu1 zöi2,1704156
hok6 tong2,1708354
diu1 geng2,1712761
siu1 zök6,1716854
fa1 him2 wäi4 yi4,1721052
gæng1 ting4 läu2,1728802
cäng1 lung4 täu4,1734045
da2 täng4,1738974
lok6 fu1,1742231
döi1 ming6,1746429
sæng1 däk2,1750104
sæng1 säng4 sing1,1753361
bæng6 häu2 yäng4,1758499
zäng6 häi6,1762697
häu6 mi1,1766268
wung6 m4 wung6,1770048
söng1 ling6,1774141
yäm1 co1 yöng4 ca1,1777712
säk6 yuk6 säu1,1784626
wui6 tam4,1791331
dam1 säm1,1795006
