pron,offset
zin4 tu4,1431694
tiau4 hiu1,1436414
kiong3 tui1,1441448
lo2 tin4 bong1,1447422
tang4 cung2,1454441
pin2 pin2,1460101
fan1 su2,1465970
tong3 pin2,1471944
hau3 gin4,1476455
hau3 sang1 yim1,1481489
yiu2 zit5 gong4,1490702
dau3 cai3,1497616
bien1 fu4,1502127
sit5 ma2,1506743
zin3 gi1,1511672
gon1 bui4,1517855
lau3 tai1 zai3,1522784
han1 kiam4,1529594
yiu1 zung3,1534105
hau3 go4,1540183
co1 yi2 min2 gam1,1544799
ti4 yit5 hong2,1555788
lai2 zon1,1562598
tui1 yit5 tui1,1568885
co4 tin4 lip5 luk5,1577471
fung2 ngiun4,1584281
lui2 gung1,1589106
gen1 fung2 din3 pak6,1596125
ngi4 siu3 ca1,1604398
giok5 zang1,1612044
don4 don4,1616973
tan2 sa4 hi4,1621902
zui1 zai3,1627876
ti4 zung1 hoi3,1633119
ok5 yiu1 ok5 bau4,1641183
ngi2 sien1 hang2 zeu3,1647157
gam1 dun3,1656057
giok5 teu2 hau3,1661195
ngin2 miang2,1668109
cung2 kin4,1674710
co1 tin4 tin4,1679953
lau1 mui4,1688017
mau2 zai4,1693260
da3 zau4 teu2,1698711
siau3 fan4,1705625
cong2 song4,1710241
kien2 da3 giok5 tiak5,1716319
cin1 cit5,1725010
liam2 zin4,1729835
fui4 ge4 su1,1736436
siu3 da3,1742305
sien4 suk5 tu4,1747339
gim4 go3,1753208
ha1 ziu4,1758868
tai4 hang1 tau4,1763066
gon1 dung4,1769249
gon1 siak5,1774283
san3 mai4,1779630
yung3 song4,1784559
zin4 yin4,1790742
sip6 yi1 vui2 song2,1795149
sin4 he4 sit5,1802481
tap6 ca1,1811172
cong2 gong1,1815579
dan1 zit5,1822075
mau2 gong3,1826377
sa1 tien2 zung1 sim1,1831828
cai1 zai3,1840937
ha4 sui3,1846493
za4 liong3,1851318
hau2 fa2 hin2,1855411
zau3 song4 hau3,1861594
tien1 yi1 vu2 fung2,1868195
vu2 si2 vu2 ket5,1876154
hau3 lai4 zu1 heu4,1885890
ya4 gau3,1893640
cu4 min2,1898360
yit5 liong1 tau4,1902871
zung4 song4 so3 sut6,1908218
zung1 si1 hap6 bit5,1915341
giok5 zi4,1922046
ga4 se4,1926453
zong4 ngi4,1930651
lu4 sam1 diam3,1934535
but5 yau4,1939882
ngiak6 zon3,1944080
mang3 gung1,1948905
yong2 yun1 kiong2,1955401
sit6 cu4 gi3,1963360
hi3 fo3,1970901
cong2 siu4,1974994
ngi4 miang2,1979923
dan1 tiau4,1985688
gak5 tiau4,1989886
lai4 cin4,1993875
heu4 ki2,1998386
het6 get5 ga1,2003211
van1 zai3 tau4,2008558
yi4 van1,2013905
kiang1 sit6,2018416
si1 ga1,2022405
tong4 pin2,2027856
lung4 ha4,2032054
sit6 fong2 ga1 fan4,2036983
tung2 siu2 tit6 koi3,2044002
gam3 gok5 hau3,2054051
cu4 hang2,2059398
vun2 fap5 hok6 gau3,2065685
fa4 miang2,2072599
si3 cien4 zung3,2077215
ca1 sit5,2085697
teu2 teu2 si4 tau4,2089581
cak5 cu4,2096913
pi4 bet5,2101006
tung1 sin4 hiap6 tin4,2105517
