pron,offset
hak5,1996107
ham1,2000200
ciong1,2005234
ngiam3,2010894
bin4,2015823
gai1,2020125
fung4,2025159
kiung4,2029879
kung1,2034286
vung1,2039006
kien3,2044144
ma1,2049073
lak6,2054002
liong3,2058095
hi4,2062397
ngim4,2066490
gong1,2071001
liau2,2076035
kiong3,2080233
gui1,2084640
muk5,2089465
mui3,2093558
kui3,2097965
kiang2,2102372
tet6,2107301
zet5,2111499
cap5,2116846
hat5,2121566
kiam1,2125659
yong2,2130797
fut5,2135622
ham2,2139924
yung1,2144958
lap6,2149783
fo2,2153667
zau1,2157969
pen1,2163212
mui4,2168141
li3,2172652
mo2,2176954
piet5,2181152
ho2,2185350
ak5,2189861
yong3,2193850
pia1,2198675
cat5,2203291
diang4,2208011
ciang2,2212627
cai4,2218392
ngion1,2223321
tit5,2227832
ze4,2232134
ngoi4,2237168
a1,2242202
ngiung2,2247340
ngui2,2252060
fong1,2256571
lien2,2261709
sau3,2266638
zoi4,2271567
bu1,2277018
tau2,2281634
lan4,2286354
gien4,2291492
hiet5,2296212
yok5,2300305
lien4,2303353
kan4,2308282
vo2,2313211
coi2,2317304
pong3,2323069
si1,2327998
ngok6,2333032
au4,2336707
teu2,2341114
pat6,2346043
ngim2,2350136
cen1,2354543
mai4,2360099
tong1,2364401
mong4,2369644
sin1,2374364
fam1,2379920
miau2,2385163
pien3,2389256
diau1,2394185
pet6,2398278
yap5,2402580
ciau4,2406046
yong4,2410557
ku4,2415068
zuk5,2419684
ai4,2424195
en1,2428393
kioi4,2433531
cong3,2438251
lang1,2443807
lak5,2449050
siong4,2452934
lan2,2458281
du4,2463315
zai1,2467722
giung4,2473487
so1,2478103
ziam4,2483450
miang2,2488797
ciuk5,2493517
min2,2497924
ca2,2502435
hip5,2507678
met6,2511562
kiet6,2516073
hiap6,2520166
kim2,2523841
ce4,2528457
yong1,2533073
hok5,2538316
ngiong2,2541991
tin4,2546607
va1,2550805
cui4,2555421
zem1,2560350
yung2,2566115
song2,2571462
zut5,2577227
tiau4,2582156
mien2,2586040
tuk6,2590760
cia4,2594644
lim3,2599260
oi1,2604189
to4,2608909
heu2,2612898
ken1,2617514
zap5,2622443
ciau3,2627268
kin1,2631361
dot5,2635977
can4,2639548
yam4,2645208
miet6,2650033
cut5,2654335
peu3,2658951
tet5,2663462
bai4,2667555
at5,2671753
poi1,2675637
suk6,2680566
yam3,2685391
kok6,2690634
gim1,2694623
tu4,2699552
zung4,2703959
hin1,2709515
vai4,2714131
sun3,2718433
zu1,2723989
bia1,2728709
voi4,2733011
ngeu3,2738149
tiam3,2742660
toi1,2747380
ken3,2752309
von4,2757029
giap5,2762272
ngia3,2765843
kiong1,2769832
tiam4,2774761
fuk5,2779272
lun4,2783261
vat5,2788190
gak5,2792388
kiu2,2796481
kiut5,2801201
zui3,2804563
ziet5,2810014
ngong4,2815048
giong1,2819873
ngong2,2824802
gan3,2829627
git5,2834556
biang3,2839067
fu1,2843892
toi4,2848508
ziau1,2853333
ngan2,2858471
moi2,2863191
sia4,2867911
ket5,2872840
fun3,2877142
ngiun4,2881653
kon1,2886478
ngo2,2891407
heu4,2895918
fan1,2900220
po3,2905254
soi1,2909765
kiong2,2915530
pui4,2920146
giung3,2924239
ca1,2928855
mak5,2934411
tap5,2938295
hien3,2942075
kip6,2947004
dung1,2951306
mun4,2956549
fat6,2961269
tok5,2965258
tin1,2968724
sut6,2973340
cak6,2978269
ngien4,2983198
lui2,2987918
cin1,2992429
pau2,2997672
sai4,3002392
cu3,3007739
dai1,3012564
go3,3017493
song1,3022004
voi1,3027769
liong1,3032698
lam3,3037523
nga2,3042870
sip5,3047590
yin4,3052624
gi3,3057344
feu3,3061855
diau3,3066471
cem2,3070042
ap5,3075493
lam2,3079586
ngai2,3084515
kun4,3088922
tiau2,3093433
leu1,3097526
hoi4,3102246
siu3,3107071
git6,3111791
vui1,3116302
dan4,3121022
dong3,3126160
mi3,3131194
hai2,3135705
ciong3,3140112
mat6,3145146
buk5,3149448
fon4,3153332
gu3,3158261
siet5,3162668
ci1,3168015
gi4,3172944
zat5,3177037
yuk5,3182175
ciam2,3186164
cang4,3191824
gi2,3197693
li2,3202518
sam3,3207238
sin2,3213316
cuk6,3218663
bo4,3223488
bang1,3227477
ziu3,3232615
cok5,3237126
ka4,3241324
ciong4,3245626
kim3,3250764
